"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"BOHR3,3";"BOHR3,3";"DRL1, DRL2, DRL3, DRL4";"";"";
"1";"";"PINHD-2X25BOX";"2X25WV";"J2";"";"";
"1";"C64-EXPANSION_F";"C64-EXPANSION_F";"EXPANSION_OUT";"J3";"";"";
"1";"JPT1236HB";"JPT1236HB";"JTP_1236HB";"SW2";"";"";
"1";"JTP-1130";"JTP-1130";"JTP-1130";"SW1";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$22";"";"";
